location,date,vaccine,total_vaccinations
Argentina,2021-04-19,Moderna,4
Argentina,2021-04-19,Oxford/AstraZeneca,862930
Argentina,2021-04-19,Pfizer/BioNTech,5
Argentina,2021-04-19,Sinopharm/Beijing,1801838
Argentina,2021-04-19,Sputnik V,4104947
Argentina,2021-04-20,CanSino,3
Argentina,2021-04-20,Moderna,4
Argentina,2021-04-20,Oxford/AstraZeneca,915438
Argentina,2021-04-20,Pfizer/BioNTech,5
Argentina,2021-04-20,Sinopharm/Beijing,1825853
Argentina,2021-04-20,Sputnik V,4151080
Argentina,2021-04-21,CanSino,4
Argentina,2021-04-21,Moderna,4
Argentina,2021-04-21,Oxford/AstraZeneca,1035668
Argentina,2021-04-21,Pfizer/BioNTech,5
Argentina,2021-04-21,Sinopharm/Beijing,1847044
Argentina,2021-04-21,Sputnik V,4183546
Argentina,2021-04-22,CanSino,6
Argentina,2021-04-22,Moderna,4
Argentina,2021-04-22,Oxford/AstraZeneca,1152921
Argentina,2021-04-22,Pfizer/BioNTech,5
Argentina,2021-04-22,Sinopharm/Beijing,1862571
Argentina,2021-04-22,Sputnik V,4228852
Argentina,2021-04-23,CanSino,6
Argentina,2021-04-23,Moderna,4
Argentina,2021-04-23,Oxford/AstraZeneca,1271198
Argentina,2021-04-23,Pfizer/BioNTech,5
Argentina,2021-04-23,Sinopharm/Beijing,1876657
Argentina,2021-04-23,Sputnik V,4290976
Argentina,2021-04-24,CanSino,6
Argentina,2021-04-24,Moderna,4
Argentina,2021-04-24,Oxford/AstraZeneca,1325048
Argentina,2021-04-24,Pfizer/BioNTech,5
